team,avg_lap_time,latitude,longitude,circuitType,precipitation,windspeed,temp,race_condition
Force India,116.76916666666669,47.2197,14.7647,Race circuit,0.217,3.1,52.7,Wet
Toro Rosso,116.74058333333333,47.2197,14.7647,Race circuit,0.217,3.1,52.7,Wet
Sauber,118.55881818181818,47.2197,14.7647,Race circuit,0.217,3.1,52.7,Wet
Lotus F1,116.91966666666669,47.2197,14.7647,Race circuit,0.217,3.1,52.7,Wet
Red Bull,118.63445454545455,47.2197,14.7647,Race circuit,0.217,3.1,52.7,Wet
Manor Marussia,116.03371428571428,47.2197,14.7647,Race circuit,0.217,3.1,52.7,Wet
McLaren,121.0062,47.2197,14.7647,Race circuit,0.217,3.1,52.7,Wet
Williams,116.88364285714285,52.0786,-1.01694,Race circuit,0.65,10.5,68.7,Wet
Mercedes,117.14664285714287,52.0786,-1.01694,Race circuit,0.65,10.5,68.7,Wet
Force India,119.31499999999998,52.0786,-1.01694,Race circuit,0.65,10.5,68.7,Wet
Ferrari,119.4080769230769,52.0786,-1.01694,Race circuit,0.65,10.5,68.7,Wet
Red Bull,119.65176923076925,52.0786,-1.01694,Race circuit,0.65,10.5,68.7,Wet
McLaren,122.43316666666665,52.0786,-1.01694,Race circuit,0.65,10.5,68.7,Wet
Toro Rosso,127.78877777777777,52.0786,-1.01694,Race circuit,0.65,10.5,68.7,Wet
Sauber,121.70833333333333,52.0786,-1.01694,Race circuit,0.65,10.5,68.7,Wet
Manor Marussia,122.87075000000003,52.0786,-1.01694,Race circuit,0.65,10.5,68.7,Wet
Ferrari,89.53129999999999,47.5789,19.2486,Race circuit,0.02,8.3,80.8,Damp
Mercedes,91.5376,47.5789,19.2486,Race circuit,0.02,8.3,80.8,Damp
Williams,92.0949,47.5789,19.2486,Race circuit,0.02,8.3,80.8,Damp
Red Bull,92.02279999999999,47.5789,19.2486,Race circuit,0.02,8.3,80.8,Damp
Force India,92.18360000000001,47.5789,19.2486,Race circuit,0.02,8.3,80.8,Damp
Toro Rosso,93.2514,47.5789,19.2486,Race circuit,0.02,8.3,80.8,Damp
McLaren,93.5901,47.5789,19.2486,Race circuit,0.02,8.3,80.8,Damp
